ticker,tag
RATCH,"['RESOURC', 'ENERG', 'SET50', 'SET100', 'SETHD']"
RBF,"['AGRO', 'FOOD', 'SET100']"
RCL,"['SERVICE', 'TRANS', 'SET100']"
READY,"['MAI', 'TECH-m', 'TECH-ms']"
RICHY,"['PROPCON', 'PROP']"
RJH,"['SERVICE', 'HELTH']"
RML,"['PROPCON', 'PROP']"
ROCK,"['CONSUMP', 'HOME']"
ROH,"['SERVICE', 'TOURISM']"
ROJNA,"['PROPCON', 'PROP']"
RP,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
RPC,"['RESOURC', 'ENERG']"
RPH,"['SERVICE', 'HELTH']"
RS,"['SERVICE', 'COMM']"
RSP,"['SERVICE', 'COMM']"
RT,"['PROPCON', 'CONS']"
RWI,"['MAI', 'INDUS-m', 'INDUS-ms']"
S,"['PROPCON', 'PROP']"
J,"['CONSUMP', 'PERSON']"
S11,"['FINCIAL', 'FIN']"
SA,"['PROPCON', 'PROP']"
SAAM,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
SABINA,"['CONSUMP', 'FASHION']"
SABUY,"['SERVICE', 'COMM', 'SET100']"
SAF,"['MAI', 'INDUS-m', 'INDUS-ms']"
SAK,"['FINCIAL', 'FIN']"
SALEE,"['MAI', 'INDUS-m', 'INDUS-ms']"
